beta,gamma,deterministic_clean_cost,deterministic_adversarial_cost,deterministic_damage,noisy_clean_cost,noisy_adversarial_cost,noisy_damage
1.001,9175.998116759296,4603.416512608018,5254.425411570094,651.0088989620763,15164.51225776035,31739.377608305513,16574.865350545162
1.01,9258.49959832856,4596.88985796463,5184.811218234923,587.921360270293,10711.685611028595,151002.77520325614,140291.08959222754
1.02,9350.1679111833,4589.883488425481,5128.081997470105,538.1985090446242,8599.703295779249,14228.008470186865,5628.3051744076165
1.03,9441.836224038037,4583.1229403427715,5084.272942893874,501.15000255110226,7518.328076452908,12552.798411828946,5034.470335376038
1.04,9533.504536892777,4576.596567497312,5048.52150202503,471.9249345277176,6876.529438653893,45221.426588531765,38344.89714987787
1.05,9625.172849747514,4570.293787595869,5018.184189963683,447.8904023678142,6456.476444035416,8368.369541181815,1911.8930971463997
1.06,9716.841162602253,4564.204863643011,4991.744752522125,427.5398888791142,6161.889572427651,10375.355461820644,4213.465889392993
1.07,9808.509475456991,4558.320770065589,4968.291161332899,409.9703912673094,5944.464654542265,44918.7960283661,38974.331373823836
1.08,9900.17778831173,4552.633103641147,4947.257773677675,394.6246700365282,5777.585971946703,56041.87209370126,50264.28612175456
1.09,9991.846101166468,4547.134015705754,4928.292506039992,381.1584903342382,5645.492019084868,25517.887440497638,19872.39542141277
1.1,10083.514414021207,4541.816154784768,4911.186022038946,369.36986725417864,5538.30080706949,95493.99264624124,89955.69183917175
1.11,10175.182726875944,4536.672615446083,4895.83383437388,359.16121892779665,5449.523467728991,101690.241115085,96240.71764735601
1.12,10266.851039730684,4531.696892047102,4882.21745150724,350.52055946013843,5374.733470624993,11999.660391436071,6624.926920811078
1.13,10358.51935258542,4526.882837103475,4870.397950126172,343.5151130226968,5310.812999773405,6532.24560329545,1221.4326035220447
1.14,10450.187665440159,4522.224624230864,4860.519139406913,338.2945151760496,5255.505503045099,11202.321388163802,5946.815885118703
1.15,10541.855978294896,4517.7167155511,4852.819795699812,335.10308014871225,5207.139130982254,7340.89116441902,2133.7520334367664
