row,profile,run_id,bank,bank_role,split,n_targets,n_samples,endpoint_error_m_mean,endpoint_error_m_p95,terminal_radial_error_m_mean,peak_radial_velocity_m_s_mean,time_to_peak_s_mean,late_negative_radial_velocity_m_s_mean,late_negative_radial_velocity_m_s_min,normalized_profile_peak_s_inv
A old_replicate,old_020a65b,h0_no_pgd_targetsupport__old_replicate_lr3e-3_clip5_b64,dense_all_angle_0p15m,primary_nominal_all_angle_constant_reach,held_out_direction_interpolated_radius,4,20,0.026301040654687323,0.03340693059167773,-0.020644694115241134,0.6056052882598977,0.157,-0.0001984238995245896,-0.003968477990491792,4.392154512859773
A old_replicate,old_020a65b,h0_no_pgd_targetsupport__old_replicate_lr3e-3_clip5_b64,dense_all_angle_0p15m,primary_nominal_all_angle_constant_reach,interpolation_unseen_grid,62,310,0.01821454853033073,0.031389870910371515,-0.008664454363543716,0.6885805297614911,0.15954838709677419,-0.0010599811362759703,-0.011803218670422638,4.917768597366408
A old_replicate,old_020a65b,h0_no_pgd_targetsupport__old_replicate_lr3e-3_clip5_b64,dense_all_angle_0p15m,primary_nominal_all_angle_constant_reach,train_support,6,30,0.004096307925448102,0.0067691009613983786,-0.0033639245272749445,0.729897441906819,0.16000000000000003,-0.0027663477907588488,-0.01021758932620287,4.930339150155159
A old_replicate,old_020a65b,h0_no_pgd_targetsupport__old_replicate_lr3e-3_clip5_b64,old_020a65b_validation_grid,reproduction_seen_vs_held_out_grid,old_held_out_support,8,40,0.029047205249033113,0.04169163780285708,-0.0213413712493801,0.5916883643358517,0.15775,-0.00031250426312311294,-0.00824575266450694,4.810552613359029
A old_replicate,old_020a65b,h0_no_pgd_targetsupport__old_replicate_lr3e-3_clip5_b64,old_020a65b_validation_grid,reproduction_seen_vs_held_out_grid,old_seen_support,11,55,0.00379807548962594,0.006398451094563213,-0.0029417315636628243,0.5972506971731412,0.15981818181818183,-0.003110415730672773,-0.01170915737748146,5.003028415002891
A old_replicate,old_020a65b,h0_no_pgd_targetsupport__old_replicate_lr3e-3_clip5_b64,old_020a65b_validation_grid,reproduction_seen_vs_held_out_grid,original_anchor,1,5,0.0019849230147335585,0.0028712811934446577,-0.0010120630264282226,0.7301935434341431,0.16,-0.0004395361407659948,-0.0014447595458477736,4.912391705815327
A old_replicate,old_020a65b,h0_no_pgd_targetsupport__old_replicate_lr3e-3_clip5_b64,crossed_radius_direction_diagnostic,diagnostic_crossed_0p10_0p12_0p15_0p18m_by_72_directions,held_out_direction__held_out_radius,8,40,0.029578549221150663,0.040274344833362966,-0.022753198890511694,0.5811012457516715,0.15775,0.0,0.0,4.268576390044654
A old_replicate,old_020a65b,h0_no_pgd_targetsupport__old_replicate_lr3e-3_clip5_b64,crossed_radius_direction_diagnostic,diagnostic_crossed_0p10_0p12_0p15_0p18m_by_72_directions,held_out_direction__seen_radius,8,40,0.023649816978333214,0.03371958719526878,-0.014717238030762341,0.5160704883396428,0.15875,-0.0002856301395707052,-0.005871841645839512,4.436805890633088
A old_replicate,old_020a65b,h0_no_pgd_targetsupport__old_replicate_lr3e-3_clip5_b64,crossed_radius_direction_diagnostic,diagnostic_crossed_0p10_0p12_0p15_0p18m_by_72_directions,interpolation_direction__held_out_radius,124,620,0.021774052973599835,0.0354778544279134,-0.015844664427138683,0.630513951659493,0.1592258064516129,-0.0004307237306463572,-0.019220782297057135,5.7133816559867565
A old_replicate,old_020a65b,h0_no_pgd_targetsupport__old_replicate_lr3e-3_clip5_b64,crossed_radius_direction_diagnostic,diagnostic_crossed_0p10_0p12_0p15_0p18m_by_72_directions,interpolation_direction__seen_radius,124,620,0.015317337293423852,0.02849963709566281,-0.006491354361711245,0.5783083316566273,0.159758064516129,-0.0014483660163560474,-0.013235363033503172,4.933592547337235
